resource_id,name,state_name,district_name,district_key,resource_type,source_dataset,observation_year,temperature,dissolved_oxygen,ph,tds,turbidity,ecoli,nitrate,arsenic,fluoride,quality_status,latitude,longitude,water_quality_score
33,Village_33,Rajasthan,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,7.4,299.0,1.28,,,0.022,1.9,unsafe,,,85.0
34,Village_34,West Bengal,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.06,232.0,4.43,,,0.046,0.63,unsafe,,,75.0
35,Village_35,West Bengal,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,7.73,1038.0,1.57,,,0.026,0.51,unsafe,,,75.0
36,Village_36,Madhya Pradesh,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,7.37,1234.0,2.0,,,0.009,2.7,unsafe,,,80.0
37,Village_37,Uttar Pradesh,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,8.17,945.0,1.26,,,0.081,1.91,unsafe,,,70.0
38,Village_38,Maharashtra,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,6.69,359.0,3.85,,,0.06,2.13,unsafe,,,85.0
39,Village_39,Rajasthan,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,8.47,458.0,1.27,,,0.09,0.23,unsafe,,,90.0
40,Village_40,West Bengal,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,7.75,669.0,3.65,,,0.01,2.09,unsafe,,,80.0
41,Village_41,Rajasthan,Patna,patna,groundwater,village_water_quality_50000.csv,,,,8.0,845.0,2.9,,,0.067,1.93,unsafe,,,70.0
42,Village_42,Bihar,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,6.72,640.0,4.1,,,0.048,1.0,unsafe,,,60.0
43,Village_43,Tamil Nadu,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,6.58,349.0,4.41,,,0.099,1.58,unsafe,,,70.0
44,Village_44,Bihar,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.17,511.0,2.99,,,0.005,1.34,unsafe,,,85.0
45,Village_45,Uttar Pradesh,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,7.12,982.0,1.62,,,0.053,2.99,unsafe,,,70.0
46,Village_46,Madhya Pradesh,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.5,807.0,4.59,,,0.014,0.21,unsafe,,,60.0
47,Village_47,West Bengal,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,7.03,1397.0,2.99,,,0.058,1.84,unsafe,,,70.0
48,Village_48,Maharashtra,Patna,patna,groundwater,village_water_quality_50000.csv,,,,6.75,939.0,2.43,,,0.006,0.33,unsafe,,,85.0
49,Village_49,West Bengal,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,7.05,547.0,1.02,,,0.049,0.35,unsafe,,,75.0
50,Village_50,Uttar Pradesh,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.81,1353.0,3.78,,,0.023,1.0,unsafe,,,75.0
51,Village_51,Tamil Nadu,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,8.06,1029.0,3.1,,,0.08,1.53,unsafe,,,70.0
52,Village_52,Tamil Nadu,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,8.02,1098.0,4.62,,,0.088,1.27,unsafe,,,60.0
53,Village_53,Uttar Pradesh,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.76,278.0,3.61,,,0.074,2.38,unsafe,,,85.0
54,Village_54,Gujarat,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,6.86,763.0,2.36,,,0.024,0.93,unsafe,,,75.0
55,Village_55,West Bengal,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,7.44,356.0,4.53,,,0.065,0.69,unsafe,,,75.0
56,Village_56,Uttar Pradesh,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,8.49,588.0,3.15,,,0.07,2.43,unsafe,,,70.0
57,Village_57,Rajasthan,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,6.85,932.0,4.8,,,0.027,2.87,unsafe,,,55.0
58,Village_58,Tamil Nadu,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,7.47,1105.0,2.41,,,0.051,2.1,unsafe,,,70.0
59,Village_59,West Bengal,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,6.52,427.0,3.33,,,0.055,1.55,unsafe,,,85.0
60,Village_60,Gujarat,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,6.54,257.0,3.9,,,0.02,2.8,unsafe,,,85.0
61,Village_61,Bihar,Patna,patna,groundwater,village_water_quality_50000.csv,,,,7.05,305.0,3.3,,,0.052,2.01,unsafe,,,85.0
62,Village_62,Gujarat,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,8.06,1430.0,1.38,,,0.024,1.84,unsafe,,,70.0
63,Village_63,West Bengal,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,8.05,405.0,4.52,,,0.03,0.34,unsafe,,,75.0
64,Village_64,Tamil Nadu,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,7.66,667.0,4.68,,,0.093,1.0,unsafe,,,60.0
65,Village_65,Rajasthan,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,8.46,690.0,3.56,,,0.025,2.92,unsafe,,,70.0
66,Village_66,Tamil Nadu,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,6.92,1073.0,4.81,,,0.009,0.71,unsafe,,,70.0
67,Village_67,Maharashtra,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,6.81,587.0,4.59,,,0.08,1.82,unsafe,,,55.0
68,Village_68,Tamil Nadu,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.55,1148.0,3.25,,,0.035,0.6,unsafe,,,75.0
69,Village_69,Madhya Pradesh,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,8.01,328.0,4.41,,,0.003,2.49,unsafe,,,80.0
70,Village_70,West Bengal,Patna,patna,groundwater,village_water_quality_50000.csv,,,,7.3,995.0,3.8,,,0.034,1.1,unsafe,,,75.0
71,Village_71,Maharashtra,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,6.99,1036.0,1.18,,,0.017,2.96,unsafe,,,70.0
72,Village_72,Bihar,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.5,1421.0,2.66,,,0.061,0.6,unsafe,,,75.0
73,Village_73,West Bengal,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,6.88,1047.0,1.32,,,0.058,1.17,unsafe,,,75.0
74,Village_74,Bihar,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,7.22,612.0,4.49,,,0.025,2.84,unsafe,,,55.0
75,Village_75,Bihar,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.23,1490.0,1.35,,,0.046,1.58,unsafe,,,70.0
76,Village_76,Tamil Nadu,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.08,685.0,2.03,,,0.023,2.5,unsafe,,,70.0
77,Village_77,Bihar,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,8.02,607.0,2.52,,,0.091,1.52,unsafe,,,70.0
78,Village_78,Madhya Pradesh,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,8.34,289.0,3.3,,,0.069,1.63,unsafe,,,85.0
79,Village_79,Uttar Pradesh,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,8.32,1007.0,2.16,,,0.089,1.6,unsafe,,,70.0
80,Village_80,Maharashtra,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,8.13,825.0,4.74,,,0.005,2.29,unsafe,,,65.0
81,Village_81,Maharashtra,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,6.62,1413.0,3.5,,,0.017,1.87,unsafe,,,70.0
82,Village_82,Madhya Pradesh,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,7.14,754.0,4.11,,,0.023,2.56,unsafe,,,55.0
83,Village_83,Gujarat,Patna,patna,groundwater,village_water_quality_50000.csv,,,,7.83,1084.0,1.54,,,0.012,2.49,unsafe,,,70.0
84,Village_84,Maharashtra,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,8.21,438.0,1.85,,,0.078,1.75,unsafe,,,85.0
85,Village_85,Rajasthan,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.88,1405.0,1.33,,,0.029,1.97,unsafe,,,70.0
86,Village_86,West Bengal,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,8.31,738.0,3.06,,,0.082,2.66,unsafe,,,70.0
87,Village_87,Bihar,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.71,1226.0,4.18,,,0.089,2.14,unsafe,,,55.0
88,Village_88,Rajasthan,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,7.09,296.0,2.01,,,0.038,1.94,unsafe,,,85.0
89,Village_89,Rajasthan,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,8.02,262.0,3.75,,,0.095,2.44,unsafe,,,85.0
90,Village_90,Gujarat,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.83,534.0,2.6,,,0.026,1.32,unsafe,,,75.0
91,Village_91,West Bengal,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,7.35,1414.0,4.73,,,0.081,2.04,unsafe,,,55.0
92,Village_92,Bihar,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,8.38,969.0,2.05,,,0.024,0.85,unsafe,,,75.0
93,Village_93,Rajasthan,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,8.38,247.0,3.43,,,0.078,1.08,unsafe,,,90.0
94,Village_94,Gujarat,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.24,1276.0,3.14,,,0.016,0.3,unsafe,,,75.0
95,Village_95,Tamil Nadu,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.57,492.0,4.08,,,0.066,1.85,unsafe,,,70.0
96,Village_96,Rajasthan,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,7.52,310.0,4.82,,,0.097,1.87,unsafe,,,70.0
97,Village_97,Maharashtra,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,6.89,369.0,3.07,,,0.005,1.25,safe,,,100.0
98,Village_98,Madhya Pradesh,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,7.9,452.0,1.8,,,0.042,0.93,unsafe,,,90.0
99,Village_99,Rajasthan,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,8.15,305.0,4.1,,,0.054,2.73,unsafe,,,70.0
100,Village_100,Madhya Pradesh,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,7.57,1244.0,4.79,,,0.071,0.73,unsafe,,,60.0
101,Village_101,Gujarat,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.52,1130.0,1.62,,,0.092,1.22,unsafe,,,75.0
102,Village_102,Tamil Nadu,Patna,patna,groundwater,village_water_quality_50000.csv,,,,7.66,1062.0,4.72,,,0.087,1.9,unsafe,,,55.0
103,Village_103,Bihar,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.76,396.0,1.14,,,0.092,1.51,unsafe,,,85.0
104,Village_104,Gujarat,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.41,448.0,2.83,,,0.08,2.75,unsafe,,,85.0
105,Village_105,Gujarat,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.38,871.0,1.9,,,0.067,0.34,unsafe,,,75.0
106,Village_106,Uttar Pradesh,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,8.49,854.0,1.75,,,0.005,1.93,unsafe,,,80.0
107,Village_107,West Bengal,Patna,patna,groundwater,village_water_quality_50000.csv,,,,7.27,612.0,1.59,,,0.089,2.41,unsafe,,,70.0
108,Village_108,Bihar,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.15,406.0,3.78,,,0.093,0.23,unsafe,,,90.0
109,Village_109,Tamil Nadu,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,7.75,297.0,3.9,,,0.07,2.03,unsafe,,,85.0
110,Village_110,Maharashtra,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.93,687.0,2.97,,,0.067,1.92,unsafe,,,70.0
111,Village_111,Uttar Pradesh,Patna,patna,groundwater,village_water_quality_50000.csv,,,,7.65,383.0,3.53,,,0.065,1.13,unsafe,,,90.0
112,Village_112,Rajasthan,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,8.33,467.0,2.23,,,0.076,0.93,unsafe,,,90.0
113,Village_113,West Bengal,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.96,316.0,1.82,,,0.06,2.1,unsafe,,,85.0
114,Village_114,West Bengal,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,8.43,1192.0,4.65,,,0.064,0.65,unsafe,,,60.0
115,Village_115,Bihar,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,8.12,1196.0,2.67,,,0.001,1.44,unsafe,,,85.0
116,Village_116,Madhya Pradesh,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,7.22,288.0,2.42,,,0.049,0.59,unsafe,,,90.0
117,Village_117,Madhya Pradesh,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,6.97,984.0,3.82,,,0.099,2.01,unsafe,,,70.0
118,Village_118,West Bengal,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,8.16,1211.0,2.38,,,0.086,2.14,unsafe,,,70.0
119,Village_119,Bihar,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,6.92,659.0,3.88,,,0.024,1.07,unsafe,,,75.0
120,Village_120,Rajasthan,Patna,patna,groundwater,village_water_quality_50000.csv,,,,8.12,618.0,1.66,,,0.004,1.23,unsafe,,,85.0
121,Village_121,West Bengal,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,7.56,551.0,3.32,,,0.063,2.32,unsafe,,,70.0
122,Village_122,Rajasthan,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,7.83,766.0,4.16,,,0.023,2.34,unsafe,,,55.0
123,Village_123,Tamil Nadu,Patna,patna,groundwater,village_water_quality_50000.csv,,,,8.22,635.0,4.01,,,0.053,1.16,unsafe,,,60.0
124,Village_124,Maharashtra,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,8.06,1102.0,2.39,,,0.048,2.71,unsafe,,,70.0
125,Village_125,Bihar,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,8.41,222.0,1.57,,,0.08,0.23,unsafe,,,90.0
126,Village_126,Rajasthan,Patna,patna,groundwater,village_water_quality_50000.csv,,,,7.57,811.0,3.0,,,0.099,0.5,unsafe,,,75.0
127,Village_127,Uttar Pradesh,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.47,934.0,2.41,,,0.037,2.32,unsafe,,,70.0
128,Village_128,West Bengal,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,7.22,1018.0,4.93,,,0.042,0.34,unsafe,,,60.0
129,Village_129,Rajasthan,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.1,618.0,4.28,,,0.055,0.78,unsafe,,,60.0
130,Village_130,Uttar Pradesh,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.1,758.0,4.33,,,0.058,2.72,unsafe,,,55.0
131,Village_131,Madhya Pradesh,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,7.8,1346.0,2.82,,,0.012,1.75,unsafe,,,70.0
132,Village_132,Madhya Pradesh,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,8.25,278.0,3.15,,,0.014,0.78,unsafe,,,90.0
133,Village_133,Madhya Pradesh,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.4,620.0,3.41,,,0.02,0.63,unsafe,,,75.0
134,Village_134,Uttar Pradesh,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,6.78,1483.0,1.26,,,0.096,1.27,unsafe,,,75.0
135,Village_135,West Bengal,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,8.06,856.0,4.3,,,0.034,2.85,unsafe,,,55.0
136,Village_136,Rajasthan,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,7.48,601.0,2.1,,,0.074,1.11,unsafe,,,75.0
137,Village_137,Gujarat,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,6.62,1188.0,4.26,,,0.071,1.07,unsafe,,,60.0
138,Village_138,Gujarat,Patna,patna,groundwater,village_water_quality_50000.csv,,,,8.29,227.0,3.32,,,0.063,2.24,unsafe,,,85.0
139,Village_139,Uttar Pradesh,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,8.13,361.0,1.91,,,0.046,0.85,unsafe,,,90.0
140,Village_140,Gujarat,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,8.35,735.0,3.7,,,0.05,2.52,unsafe,,,70.0
141,Village_141,Uttar Pradesh,Kolkata,kolkata,groundwater,village_water_quality_50000.csv,,,,7.41,351.0,4.11,,,0.034,0.36,unsafe,,,75.0
142,Village_142,Gujarat,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,6.58,340.0,4.23,,,0.078,2.05,unsafe,,,70.0
143,Village_143,Maharashtra,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.23,893.0,4.44,,,0.044,2.38,unsafe,,,55.0
144,Village_144,Madhya Pradesh,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,6.86,713.0,3.65,,,0.043,2.07,unsafe,,,70.0
145,Village_145,Tamil Nadu,Patna,patna,groundwater,village_water_quality_50000.csv,,,,6.58,923.0,1.85,,,0.002,0.79,unsafe,,,85.0
146,Village_146,Maharashtra,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,7.35,1424.0,3.3,,,0.098,0.32,unsafe,,,75.0
147,Village_147,West Bengal,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,8.08,1405.0,1.53,,,0.085,0.34,unsafe,,,75.0
148,Village_148,Gujarat,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,7.33,1383.0,1.8,,,0.009,1.03,unsafe,,,85.0
149,Village_149,Tamil Nadu,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.17,1251.0,3.01,,,0.026,1.17,unsafe,,,75.0
150,Village_150,Rajasthan,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.82,681.0,4.57,,,0.071,0.94,unsafe,,,60.0
151,Village_151,Maharashtra,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.86,1174.0,1.36,,,0.03,2.04,unsafe,,,70.0
152,Village_152,West Bengal,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,7.96,568.0,3.77,,,0.069,2.33,unsafe,,,70.0
153,Village_153,Madhya Pradesh,Patna,patna,groundwater,village_water_quality_50000.csv,,,,7.72,269.0,2.79,,,0.015,2.65,unsafe,,,85.0
154,Village_154,Uttar Pradesh,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,6.88,452.0,1.44,,,0.098,1.11,unsafe,,,90.0
155,Village_155,Bihar,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,6.6,1044.0,1.33,,,0.008,2.71,unsafe,,,80.0
156,Village_156,Bihar,Nagpur,nagpur,groundwater,village_water_quality_50000.csv,,,,7.9,567.0,3.1,,,0.077,0.3,unsafe,,,75.0
157,Village_157,Gujarat,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.64,768.0,2.45,,,0.052,0.6,unsafe,,,75.0
158,Village_158,Bihar,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,7.65,1196.0,2.61,,,0.039,1.97,unsafe,,,70.0
159,Village_159,West Bengal,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,7.83,1180.0,4.6,,,0.016,0.95,unsafe,,,60.0
160,Village_160,Madhya Pradesh,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,8.06,737.0,3.23,,,0.039,2.68,unsafe,,,70.0
161,Village_161,Bihar,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,6.76,744.0,2.67,,,0.063,1.23,unsafe,,,75.0
162,Village_162,Bihar,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,8.31,970.0,3.91,,,0.099,1.46,unsafe,,,75.0
163,Village_163,Madhya Pradesh,Ahmedabad,ahmedabad,groundwater,village_water_quality_50000.csv,,,,7.49,1134.0,3.65,,,0.082,2.55,unsafe,,,70.0
164,Village_164,Bihar,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,8.29,1011.0,4.18,,,0.065,0.74,unsafe,,,60.0
165,Village_165,Madhya Pradesh,Jaipur,jaipur,groundwater,village_water_quality_50000.csv,,,,8.1,710.0,1.04,,,0.062,2.87,unsafe,,,70.0
166,Village_166,Tamil Nadu,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.9,537.0,4.81,,,0.022,1.91,unsafe,,,55.0
167,Village_167,Madhya Pradesh,Muzaffarnagar,muzaffarnagar,groundwater,village_water_quality_50000.csv,,,,7.38,298.0,2.88,,,0.091,2.53,unsafe,,,85.0
168,Village_168,Rajasthan,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.32,904.0,1.12,,,0.053,0.35,unsafe,,,75.0
169,Village_169,Tamil Nadu,Chennai,chennai,groundwater,village_water_quality_50000.csv,,,,6.53,855.0,2.39,,,0.004,2.62,unsafe,,,80.0
170,Village_170,Tamil Nadu,Bhopal,bhopal,groundwater,village_water_quality_50000.csv,,,,7.72,1147.0,2.64,,,0.099,1.39,unsafe,,,75.0
