Village_ID,Village,State,District,Water_Source,pH,TDS,Hardness,Fluoride,Arsenic,Quality_Status
110,Village_110,Maharashtra,Jaipur,Groundwater,7.93,687,297,1.92,0.067,Unsafe
111,Village_111,Uttar Pradesh,Patna,Groundwater,7.65,383,353,1.13,0.065,Unsafe
112,Village_112,Rajasthan,Jaipur,Groundwater,8.33,467,223,0.93,0.076,Unsafe
113,Village_113,West Bengal,Nagpur,Groundwater,7.96,316,182,2.1,0.06,Unsafe
114,Village_114,West Bengal,Bhopal,Groundwater,8.43,1192,465,0.65,0.064,Unsafe
115,Village_115,Bihar,Nagpur,Groundwater,8.12,1196,267,1.44,0.001,Unsafe
116,Village_116,Madhya Pradesh,Kolkata,Groundwater,7.22,288,242,0.59,0.049,Unsafe
117,Village_117,Madhya Pradesh,Chennai,Groundwater,6.97,984,382,2.01,0.099,Unsafe
118,Village_118,West Bengal,Nagpur,Groundwater,8.16,1211,238,2.14,0.086,Unsafe
119,Village_119,Bihar,Jaipur,Groundwater,6.92,659,388,1.07,0.024,Unsafe
120,Village_120,Rajasthan,Patna,Groundwater,8.12,618,166,1.23,0.004,Unsafe
121,Village_121,West Bengal,Muzaffarnagar,Groundwater,7.56,551,332,2.32,0.063,Unsafe
122,Village_122,Rajasthan,Chennai,Groundwater,7.83,766,416,2.34,0.023,Unsafe
123,Village_123,Tamil Nadu,Patna,Groundwater,8.22,635,401,1.16,0.053,Unsafe
124,Village_124,Maharashtra,Ahmedabad,Groundwater,8.06,1102,239,2.71,0.048,Unsafe
125,Village_125,Bihar,Chennai,Groundwater,8.41,222,157,0.23,0.08,Unsafe
126,Village_126,Rajasthan,Patna,Groundwater,7.57,811,300,0.5,0.099,Unsafe
127,Village_127,Uttar Pradesh,Bhopal,Groundwater,7.47,934,241,2.32,0.037,Unsafe
128,Village_128,West Bengal,Ahmedabad,Groundwater,7.22,1018,493,0.34,0.042,Unsafe
129,Village_129,Rajasthan,Nagpur,Groundwater,7.1,618,428,0.78,0.055,Unsafe
130,Village_130,Uttar Pradesh,Nagpur,Groundwater,7.1,758,433,2.72,0.058,Unsafe
131,Village_131,Madhya Pradesh,Kolkata,Groundwater,7.8,1346,282,1.75,0.012,Unsafe
132,Village_132,Madhya Pradesh,Jaipur,Groundwater,8.25,278,315,0.78,0.014,Unsafe
133,Village_133,Madhya Pradesh,Bhopal,Groundwater,7.4,620,341,0.63,0.02,Unsafe
134,Village_134,Uttar Pradesh,Ahmedabad,Groundwater,6.78,1483,126,1.27,0.096,Unsafe
135,Village_135,West Bengal,Kolkata,Groundwater,8.06,856,430,2.85,0.034,Unsafe
136,Village_136,Rajasthan,Muzaffarnagar,Groundwater,7.48,601,210,1.11,0.074,Unsafe
137,Village_137,Gujarat,Bhopal,Groundwater,6.62,1188,426,1.07,0.071,Unsafe
138,Village_138,Gujarat,Patna,Groundwater,8.29,227,332,2.24,0.063,Unsafe
139,Village_139,Uttar Pradesh,Ahmedabad,Groundwater,8.13,361,191,0.85,0.046,Unsafe
140,Village_140,Gujarat,Nagpur,Groundwater,8.35,735,370,2.52,0.05,Unsafe
141,Village_141,Uttar Pradesh,Kolkata,Groundwater,7.41,351,411,0.36,0.034,Unsafe
142,Village_142,Gujarat,Chennai,Groundwater,6.58,340,423,2.05,0.078,Unsafe
143,Village_143,Maharashtra,Jaipur,Groundwater,7.23,893,444,2.38,0.044,Unsafe
144,Village_144,Madhya Pradesh,Ahmedabad,Groundwater,6.86,713,365,2.07,0.043,Unsafe
145,Village_145,Tamil Nadu,Patna,Groundwater,6.58,923,185,0.79,0.002,Unsafe
146,Village_146,Maharashtra,Chennai,Groundwater,7.35,1424,330,0.32,0.098,Unsafe
147,Village_147,West Bengal,Bhopal,Groundwater,8.08,1405,153,0.34,0.085,Unsafe
148,Village_148,Gujarat,Ahmedabad,Groundwater,7.33,1383,180,1.03,0.009,Unsafe
149,Village_149,Tamil Nadu,Bhopal,Groundwater,7.17,1251,301,1.17,0.026,Unsafe
150,Village_150,Rajasthan,Jaipur,Groundwater,7.82,681,457,0.94,0.071,Unsafe
151,Village_151,Maharashtra,Bhopal,Groundwater,7.86,1174,136,2.04,0.03,Unsafe
152,Village_152,West Bengal,Chennai,Groundwater,7.96,568,377,2.33,0.069,Unsafe
153,Village_153,Madhya Pradesh,Patna,Groundwater,7.72,269,279,2.65,0.015,Unsafe
154,Village_154,Uttar Pradesh,Jaipur,Groundwater,6.88,452,144,1.11,0.098,Unsafe
155,Village_155,Bihar,Jaipur,Groundwater,6.6,1044,133,2.71,0.008,Unsafe
156,Village_156,Bihar,Nagpur,Groundwater,7.9,567,310,0.3,0.077,Unsafe
157,Village_157,Gujarat,Bhopal,Groundwater,7.64,768,245,0.6,0.052,Unsafe
158,Village_158,Bihar,Jaipur,Groundwater,7.65,1196,261,1.97,0.039,Unsafe
159,Village_159,West Bengal,Muzaffarnagar,Groundwater,7.83,1180,460,0.95,0.016,Unsafe
160,Village_160,Madhya Pradesh,Ahmedabad,Groundwater,8.06,737,323,2.68,0.039,Unsafe
161,Village_161,Bihar,Muzaffarnagar,Groundwater,6.76,744,267,1.23,0.063,Unsafe
162,Village_162,Bihar,Ahmedabad,Groundwater,8.31,970,391,1.46,0.099,Unsafe
163,Village_163,Madhya Pradesh,Ahmedabad,Groundwater,7.49,1134,365,2.55,0.082,Unsafe
164,Village_164,Bihar,Jaipur,Groundwater,8.29,1011,418,0.74,0.065,Unsafe
165,Village_165,Madhya Pradesh,Jaipur,Groundwater,8.1,710,104,2.87,0.062,Unsafe
166,Village_166,Tamil Nadu,Bhopal,Groundwater,7.9,537,481,1.91,0.022,Unsafe
167,Village_167,Madhya Pradesh,Muzaffarnagar,Groundwater,7.38,298,288,2.53,0.091,Unsafe
168,Village_168,Rajasthan,Bhopal,Groundwater,7.32,904,112,0.35,0.053,Unsafe
169,Village_169,Tamil Nadu,Chennai,Groundwater,6.53,855,239,2.62,0.004,Unsafe
170,Village_170,Tamil Nadu,Bhopal,Groundwater,7.72,1147,264,1.39,0.099,Unsafe
171,Village_171,West Bengal,Nagpur,Groundwater,7.1,684,102,0.83,0.062,Unsafe
172,Village_172,Bihar,Patna,Groundwater,7.56,1030,215,0.94,0.021,Unsafe
173,Village_173,Uttar Pradesh,Patna,Groundwater,8.24,377,201,2.73,0.028,Unsafe
174,Village_174,Tamil Nadu,Jaipur,Groundwater,7.51,370,340,2.59,0.017,Unsafe
175,Village_175,Maharashtra,Kolkata,Groundwater,6.58,944,199,1.58,0.05,Unsafe
176,Village_176,Gujarat,Ahmedabad,Groundwater,7.48,764,312,0.23,0.074,Unsafe
177,Village_177,Gujarat,Kolkata,Groundwater,7.26,838,403,2.7,0.095,Unsafe
178,Village_178,Tamil Nadu,Jaipur,Groundwater,6.58,634,366,0.73,0.08,Unsafe
179,Village_179,Maharashtra,Nagpur,Groundwater,7.54,715,176,2.48,0.019,Unsafe
180,Village_180,Uttar Pradesh,Nagpur,Groundwater,6.92,414,494,1.54,0.059,Unsafe
181,Village_181,Gujarat,Jaipur,Groundwater,7.37,811,250,0.83,0.005,Unsafe
182,Village_182,Rajasthan,Nagpur,Groundwater,7.05,1344,333,0.97,0.083,Unsafe
183,Village_183,Rajasthan,Ahmedabad,Groundwater,7.44,675,181,1.47,0.038,Unsafe
184,Village_184,West Bengal,Patna,Groundwater,7.95,752,441,1.29,0.074,Unsafe
185,Village_185,Madhya Pradesh,Jaipur,Groundwater,8.37,540,272,0.98,0.053,Unsafe
186,Village_186,Madhya Pradesh,Jaipur,Groundwater,6.93,421,280,1.74,0.045,Unsafe
187,Village_187,West Bengal,Patna,Groundwater,6.82,789,156,0.5,0.086,Unsafe
188,Village_188,Tamil Nadu,Jaipur,Groundwater,6.83,1154,314,2.77,0.057,Unsafe
189,Village_189,Bihar,Jaipur,Groundwater,8.04,558,273,1.14,0.007,Unsafe
190,Village_190,Bihar,Ahmedabad,Groundwater,7.86,923,257,1.28,0.092,Unsafe
191,Village_191,Bihar,Ahmedabad,Groundwater,7.64,1149,265,2.24,0.026,Unsafe
192,Village_192,Maharashtra,Patna,Groundwater,7.47,909,180,2.3,0.024,Unsafe
193,Village_193,Bihar,Chennai,Groundwater,7.91,422,461,0.78,0.066,Unsafe
194,Village_194,Gujarat,Muzaffarnagar,Groundwater,6.87,969,299,0.51,0.024,Unsafe
195,Village_195,Madhya Pradesh,Muzaffarnagar,Groundwater,7.43,759,233,0.3,0.026,Unsafe
196,Village_196,Tamil Nadu,Bhopal,Groundwater,6.68,260,442,1.25,0.028,Unsafe
197,Village_197,Gujarat,Patna,Groundwater,6.84,1154,440,2.8,0.096,Unsafe
198,Village_198,Tamil Nadu,Bhopal,Groundwater,8.27,1475,378,2.04,0.059,Unsafe
199,Village_199,Tamil Nadu,Chennai,Groundwater,6.76,217,226,2.35,0.018,Unsafe
200,Village_200,Gujarat,Chennai,Groundwater,6.65,851,324,1.58,0.018,Unsafe
201,Village_201,West Bengal,Muzaffarnagar,Groundwater,7.91,640,399,2.7,0.008,Unsafe
202,Village_202,Tamil Nadu,Bhopal,Groundwater,7.55,532,276,1.8,0.017,Unsafe
203,Village_203,Madhya Pradesh,Nagpur,Groundwater,7.43,738,303,0.25,0.011,Unsafe
204,Village_204,West Bengal,Jaipur,Groundwater,7.96,429,223,1.88,0.061,Unsafe
205,Village_205,Gujarat,Ahmedabad,Groundwater,6.93,645,166,1.06,0.016,Unsafe
206,Village_206,Maharashtra,Muzaffarnagar,Groundwater,6.56,1423,118,2.05,0.068,Unsafe
207,Village_207,Madhya Pradesh,Muzaffarnagar,Groundwater,7.17,317,415,1.22,0.086,Unsafe
208,Village_208,Rajasthan,Bhopal,Groundwater,6.62,1457,102,0.63,0.094,Unsafe
209,Village_209,Tamil Nadu,Kolkata,Groundwater,7.33,1251,184,2.03,0.045,Unsafe
210,Village_210,Madhya Pradesh,Nagpur,Groundwater,7.21,1331,169,1.41,0.081,Unsafe
211,Village_211,Madhya Pradesh,Jaipur,Groundwater,7.26,1484,403,2.3,0.071,Unsafe
212,Village_212,Maharashtra,Patna,Groundwater,8.16,418,258,2.03,0.064,Unsafe
213,Village_213,Bihar,Kolkata,Groundwater,6.58,1442,252,0.98,0.021,Unsafe
214,Village_214,Maharashtra,Ahmedabad,Groundwater,8.24,582,142,2.85,0.022,Unsafe
215,Village_215,Gujarat,Patna,Groundwater,8.0,1013,111,2.96,0.083,Unsafe
216,Village_216,Madhya Pradesh,Jaipur,Groundwater,7.78,993,418,0.44,0.071,Unsafe
217,Village_217,Madhya Pradesh,Chennai,Groundwater,7.25,396,142,1.06,0.039,Unsafe
218,Village_218,Uttar Pradesh,Patna,Groundwater,6.68,939,245,2.53,0.006,Unsafe
219,Village_219,Tamil Nadu,Ahmedabad,Groundwater,8.0,1486,456,0.56,0.045,Unsafe
220,Village_220,West Bengal,Kolkata,Groundwater,6.56,1037,306,2.6,0.047,Unsafe
221,Village_221,Madhya Pradesh,Ahmedabad,Groundwater,8.23,1229,426,0.74,0.018,Unsafe
222,Village_222,Uttar Pradesh,Muzaffarnagar,Groundwater,8.38,494,216,2.91,0.056,Unsafe
223,Village_223,Uttar Pradesh,Kolkata,Groundwater,7.74,888,232,1.22,0.022,Unsafe
224,Village_224,West Bengal,Jaipur,Groundwater,7.09,1043,449,2.19,0.027,Unsafe
225,Village_225,Bihar,Nagpur,Groundwater,7.86,1331,484,0.32,0.095,Unsafe
226,Village_226,Rajasthan,Nagpur,Groundwater,6.54,1363,317,0.97,0.028,Unsafe
227,Village_227,West Bengal,Jaipur,Groundwater,7.27,1082,474,2.11,0.014,Unsafe
228,Village_228,Bihar,Bhopal,Groundwater,8.16,1193,495,0.43,0.001,Unsafe
229,Village_229,Gujarat,Kolkata,Groundwater,6.63,1238,118,0.41,0.029,Unsafe
230,Village_230,Tamil Nadu,Patna,Groundwater,7.98,1329,134,1.94,0.013,Unsafe
231,Village_231,Tamil Nadu,Nagpur,Groundwater,8.17,1482,402,1.34,0.034,Unsafe
232,Village_232,Tamil Nadu,Muzaffarnagar,Groundwater,6.78,495,202,1.86,0.001,Unsafe
233,Village_233,Gujarat,Nagpur,Groundwater,7.06,204,453,0.26,0.027,Unsafe
234,Village_234,Gujarat,Muzaffarnagar,Groundwater,6.68,1062,277,0.38,0.055,Unsafe
235,Village_235,Gujarat,Jaipur,Groundwater,7.96,463,345,2.61,0.053,Unsafe
236,Village_236,Madhya Pradesh,Ahmedabad,Groundwater,6.81,1180,175,1.27,0.056,Unsafe
237,Village_237,West Bengal,Patna,Groundwater,7.31,892,147,2.2,0.054,Unsafe
238,Village_238,West Bengal,Kolkata,Groundwater,6.81,477,445,2.57,0.01,Unsafe
239,Village_239,Madhya Pradesh,Ahmedabad,Groundwater,6.89,389,497,0.9,0.086,Unsafe
240,Village_240,Uttar Pradesh,Patna,Groundwater,8.42,1037,284,1.69,0.096,Unsafe
241,Village_241,Uttar Pradesh,Nagpur,Groundwater,8.45,1098,343,0.28,0.087,Unsafe
242,Village_242,Bihar,Muzaffarnagar,Groundwater,8.11,761,378,2.0,0.095,Unsafe
243,Village_243,Bihar,Kolkata,Groundwater,7.42,1193,373,2.3,0.048,Unsafe
244,Village_244,Madhya Pradesh,Bhopal,Groundwater,6.94,632,149,1.4,0.02,Unsafe
245,Village_245,Rajasthan,Chennai,Groundwater,7.94,962,175,2.34,0.073,Unsafe
246,Village_246,Gujarat,Kolkata,Groundwater,8.34,1031,314,2.43,0.023,Unsafe
247,Village_247,Uttar Pradesh,Chennai,Groundwater,6.85,956,143,1.58,0.031,Unsafe
248,Village_248,Uttar Pradesh,Ahmedabad,Groundwater,6.86,465,375,2.96,0.019,Unsafe
249,Village_249,Gujarat,Jaipur,Groundwater,6.96,1240,481,1.26,0.074,Unsafe
250,Village_250,Tamil Nadu,Chennai,Groundwater,8.13,1043,396,2.23,0.013,Unsafe
251,Village_251,Bihar,Patna,Groundwater,7.62,1207,485,2.94,0.02,Unsafe
252,Village_252,Madhya Pradesh,Jaipur,Groundwater,8.43,718,153,2.33,0.067,Unsafe
253,Village_253,Gujarat,Patna,Groundwater,7.68,1147,409,1.03,0.008,Unsafe
254,Village_254,Maharashtra,Jaipur,Groundwater,7.84,247,208,1.11,0.077,Unsafe
255,Village_255,West Bengal,Kolkata,Groundwater,8.11,231,311,1.5,0.037,Unsafe
256,Village_256,Maharashtra,Kolkata,Groundwater,8.27,1107,294,2.5,0.05,Unsafe
257,Village_257,Uttar Pradesh,Nagpur,Groundwater,8.24,357,289,1.23,0.003,Safe
258,Village_258,Madhya Pradesh,Jaipur,Groundwater,6.77,200,484,0.87,0.099,Unsafe
259,Village_259,Madhya Pradesh,Bhopal,Groundwater,7.92,552,167,0.67,0.032,Unsafe
260,Village_260,West Bengal,Muzaffarnagar,Groundwater,8.37,1467,210,1.71,0.079,Unsafe
261,Village_261,Bihar,Bhopal,Groundwater,7.41,458,382,1.76,0.023,Unsafe
262,Village_262,Gujarat,Ahmedabad,Groundwater,8.12,1083,184,2.97,0.069,Unsafe
263,Village_263,Bihar,Muzaffarnagar,Groundwater,8.34,614,434,0.6,0.028,Unsafe
264,Village_264,West Bengal,Ahmedabad,Groundwater,7.82,1153,192,1.27,0.08,Unsafe
265,Village_265,Maharashtra,Patna,Groundwater,8.44,1219,419,0.68,0.097,Unsafe
266,Village_266,Rajasthan,Muzaffarnagar,Groundwater,7.97,663,250,0.41,0.034,Unsafe
267,Village_267,Tamil Nadu,Muzaffarnagar,Groundwater,7.58,1183,257,2.08,0.054,Unsafe
268,Village_268,West Bengal,Muzaffarnagar,Groundwater,7.81,477,322,2.13,0.005,Unsafe
269,Village_269,Tamil Nadu,Chennai,Groundwater,7.26,232,359,1.32,0.043,Unsafe
270,Village_270,Maharashtra,Ahmedabad,Groundwater,6.53,224,378,0.95,0.088,Unsafe
271,Village_271,Madhya Pradesh,Nagpur,Groundwater,7.68,352,424,0.33,0.01,Unsafe
272,Village_272,Uttar Pradesh,Chennai,Groundwater,8.44,1472,129,0.26,0.075,Unsafe
273,Village_273,West Bengal,Muzaffarnagar,Groundwater,8.12,283,324,1.66,0.029,Unsafe
274,Village_274,Rajasthan,Ahmedabad,Groundwater,7.29,1198,457,2.72,0.02,Unsafe
275,Village_275,Bihar,Chennai,Groundwater,6.95,1139,455,1.5,0.032,Unsafe
276,Village_276,Uttar Pradesh,Ahmedabad,Groundwater,7.35,378,465,1.74,0.046,Unsafe
277,Village_277,Tamil Nadu,Bhopal,Groundwater,8.33,1256,360,0.45,0.082,Unsafe
278,Village_278,Gujarat,Kolkata,Groundwater,6.96,1219,294,1.54,0.005,Unsafe
279,Village_279,West Bengal,Jaipur,Groundwater,7.72,1257,483,2.02,0.045,Unsafe
280,Village_280,West Bengal,Nagpur,Groundwater,7.58,813,144,1.99,0.003,Unsafe
281,Village_281,West Bengal,Jaipur,Groundwater,7.45,1476,364,1.29,0.077,Unsafe
